Production_Budget_INR_Cr,Marketing_Budget_INR_Cr,Release_Month,Popularity_Score,Runtime_Minutes,Star_Success_Factor,Genre,Primary_Language,Diaspora_Strength_Score,Origin,India_Gross_INR_Cr,International_Gross_INR_Cr
9.87,3.06,9,52,124,1,Historical Epic,Hindi,2,Indian,18.48,12.26
67.87,4.02,5,53,123,5,Drama,Telugu,4,Indian,97.41,78.78
16.46,5.41,6,46,125,3,Horror/Thriller,English,3,Indian,19.91,18.2
482.76,143.31,12,68,116,2,Action (Masala),Hindi,0,Indian,873.48,892.19
9.69,3.79,10,78,131,7,Superhero,Hindi,1,Indian,67.71,35.16
25.11,7.74,8,67,116,8,Horror/Thriller,Tamil,3,Indian,47.33,31.39
3000.0,377.91,2,60,109,1,Thriller,English,8,Hollywood,3704.71,10047.47
131.51,18.42,12,68,151,7,Fantasy/Adventure,Others,4,Indian,474.23,235.69
148.67,24.66,10,64,135,8,Sci-Fi/Action,English,5,Hollywood,218.62,1029.04
47.19,9.46,9,38,134,4,Sci-Fi/Action,Hindi,0,Indian,88.89,60.86
48.37,6.95,7,80,148,10,Animated,Tamil,0,Indian,147.1,40.31
122.29,35.44,11,63,165,4,Fantasy/Adventure,Hindi,5,Indian,179.28,198.25
51.29,8.37,2,56,128,4,Superhero,Tamil,4,Indian,129.38,121.88
21.69,0.5,5,73,146,6,Drama,Hindi,6,Indian,53.06,34.35
35.73,6.82,3,79,121,6,Drama,Tamil,0,Indian,76.06,33.56
12.6,0.5,4,67,150,9,Drama,Tamil,2,Indian,27.05,16.0
7.35,0.5,1,71,132,6,Animated,English,5,Indian,15.7,16.1
118.83,21.02,9,66,139,5,Sci-Fi/Action,English,4,Hollywood,193.04,693.92
88.61,21.06,10,64,144,7,Historical Epic,Others,10,Indian,343.11,307.44
218.88,54.75,8,48,176,1,Drama,English,2,Hollywood,138.19,316.95
12.28,6.81,3,67,178,6,Horror/Thriller,Tamil,8,Indian,17.01,23.15
192.34,10.47,3,70,140,3,Action (Masala),English,2,Hollywood,261.82,1188.34
250.47,66.22,5,73,142,7,Fantasy/Adventure,Telugu,5,Indian,739.1,334.44
23.3,7.23,8,30,160,1,Superhero,Telugu,0,Indian,41.52,34.15
36.61,5.77,12,57,163,5,Animated,Telugu,0,Indian,86.3,40.41
39.73,5.34,11,38,124,1,Animated,Hindi,5,Indian,48.83,56.7
676.31,166.84,10,77,134,7,Horror/Thriller,English,6,Hollywood,1230.31,1769.12
141.75,22.14,12,68,125,5,Superhero,Others,5,Indian,493.56,341.58
2030.63,573.8,5,81,148,6,Rom-Com,English,7,Hollywood,1653.87,10786.72
79.54,12.5,2,69,120,7,Historical Epic,Hindi,4,Indian,196.23,124.64
187.31,36.59,10,71,122,9,Fantasy/Adventure,English,5,Hollywood,448.0,2002.14
22.17,2.38,2,45,157,2,Animated,Telugu,5,Indian,26.5,31.03
21.28,5.24,12,57,143,2,Action (Masala),Telugu,3,Indian,61.74,55.0
99.64,34.07,8,72,132,4,Horror/Thriller,Hindi,0,Indian,117.09,67.38
44.3,11.86,3,86,148,8,Sci-Fi/Action,English,8,Hollywood,107.51,459.66
975.77,153.39,12,96,132,7,Action (Masala),English,8,Hollywood,1313.1,4439.63
38.88,13.27,12,76,129,7,Horror/Thriller,Hindi,0,Indian,94.84,40.26
86.63,25.52,9,62,137,5,Thriller,Others,7,Indian,187.07,166.18
108.14,23.77,3,65,103,3,Drama,English,8,Hollywood,99.74,565.2
134.77,32.64,11,71,104,9,Horror/Thriller,Telugu,3,Indian,218.83,118.12
8.14,3.16,3,46,133,4,Animated,Tamil,5,Indian,14.41,13.78
17.65,2.09,3,44,170,4,Thriller,Hindi,3,Indian,27.94,21.48
26.81,6.73,3,60,130,3,Superhero,Telugu,0,Indian,62.71,29.22
53.4,21.25,2,76,106,5,Animated,Hindi,4,Indian,122.46,84.83
15.72,6.85,10,71,136,5,Horror/Thriller,Telugu,1,Indian,31.81,24.48
12.5,3.9,5,100,109,10,Animated,Hindi,4,Indian,61.54,31.15
16.59,2.32,6,74,130,10,Horror/Thriller,English,1,Indian,34.63,20.6
49.51,6.33,8,65,123,4,Drama,Hindi,4,Indian,77.13,30.45
38.9,6.88,3,45,123,5,Drama,Hindi,3,Indian,52.28,40.04
50.96,8.65,5,68,141,8,Sci-Fi/Action,English,1,Indian,192.2,142.16
420.48,68.78,3,74,140,7,Historical Epic,English,10,Hollywood,778.54,2574.08
23.36,5.07,4,48,106,7,Superhero,Others,3,Indian,83.26,31.77
123.84,28.11,5,63,144,3,Action (Masala),English,8,Hollywood,226.22,1307.7
189.51,27.51,1,57,143,5,Historical Epic,English,6,Hollywood,282.16,947.88
108.65,16.58,10,63,159,6,Drama,Telugu,6,Indian,179.22,119.2
35.58,6.82,12,29,138,3,Horror/Thriller,Telugu,10,Indian,36.94,53.86
37.27,9.52,8,51,138,5,Superhero,English,3,Indian,88.55,98.33
3000.0,723.98,5,91,150,7,Animated,English,1,Hollywood,2761.79,26222.55
21.44,6.37,2,38,86,3,Fantasy/Adventure,English,3,Indian,41.29,32.13
22.93,10.28,1,72,138,7,Action (Masala),Hindi,3,Indian,128.63,45.45
23.25,0.5,5,68,128,5,Historical Epic,Others,2,Indian,61.15,42.62
9.88,6.17,1,65,147,3,Historical Epic,Hindi,0,Indian,29.75,17.19
8.84,1.55,10,68,128,8,Animated,Tamil,6,Indian,28.09,20.42
415.68,44.3,10,61,122,4,Animated,English,3,Hollywood,286.37,2242.05
104.36,0.5,12,61,152,7,Horror/Thriller,Others,3,Indian,143.35,84.46
258.9,63.84,11,87,111,10,Horror/Thriller,Hindi,3,Indian,540.86,143.06
222.91,55.97,1,65,164,3,Drama,Tamil,7,Indian,175.93,171.47
21.18,0.5,5,58,159,4,Drama,Hindi,1,Indian,33.53,29.79
33.0,8.9,1,47,104,5,Rom-Com,Tamil,5,Indian,55.9,58.18
6.32,2.56,9,60,103,4,Thriller,Hindi,6,Indian,13.34,13.8
86.99,20.68,9,75,126,6,Thriller,Telugu,5,Indian,170.47,119.64
68.01,15.67,12,80,155,9,Horror/Thriller,Others,3,Indian,178.61,72.07
7.36,0.5,10,56,142,2,Drama,Others,0,Indian,13.2,6.84
77.81,21.35,10,88,157,10,Superhero,English,4,Hollywood,283.86,531.74
19.22,10.82,4,44,110,2,Superhero,Hindi,1,Indian,38.43,30.7
80.28,14.53,8,61,137,3,Horror/Thriller,Telugu,4,Indian,57.82,68.74
16.09,0.59,1,87,160,9,Historical Epic,Tamil,2,Indian,59.21,26.5
36.75,7.54,2,93,123,8,Historical Epic,Others,2,Indian,131.63,72.38
25.13,0.5,10,50,125,5,Historical Epic,Others,4,Indian,39.61,40.48
18.39,7.26,4,94,145,8,Superhero,Others,6,Indian,101.23,77.63
871.71,260.03,3,96,131,8,Fantasy/Adventure,English,6,Hollywood,2684.89,4652.5
44.77,9.78,8,65,173,4,Sci-Fi/Action,Tamil,2,Indian,98.16,70.19
31.47,8.38,2,76,138,9,Thriller,Hindi,6,Indian,74.35,39.01
78.74,13.36,10,61,133,1,Historical Epic,Hindi,2,Indian,1183.68,95.83
251.15,31.84,2,58,150,6,Historical Epic,English,7,Hollywood,292.05,2259.11
10.29,2.18,3,51,130,3,Rom-Com,Telugu,5,Indian,14.98,16.9
473.68,113.99,8,75,143,3,Drama,English,3,Hollywood,347.24,1844.67
14.07,0.5,1,70,123,6,Horror/Thriller,Hindi,2,Indian,17.9,12.71
15.07,3.39,9,64,134,8,Horror/Thriller,Telugu,3,Indian,158.62,16.67
178.19,32.48,2,52,129,4,Historical Epic,Others,7,Indian,325.48,233.11
19.23,8.77,1,81,123,9,Historical Epic,Tamil,5,Indian,83.9,47.29
891.4,272.82,6,98,138,6,Rom-Com,English,4,Hollywood,738.44,2859.73
458.49,52.27,10,100,133,6,Sci-Fi/Action,English,4,Hollywood,1180.01,1676.35
52.75,4.46,11,60,163,6,Horror/Thriller,English,0,Indian,50.39,31.14
222.06,63.46,12,75,106,5,Action (Masala),Tamil,7,Indian,893.9,639.33
151.13,21.56,12,56,156,3,Thriller,English,7,Hollywood,854.85,1017.59
2.0,1.17,5,84,112,9,Thriller,Hindi,6,Indian,9.79,7.49
48.34,3.18,11,67,109,5,Fantasy/Adventure,Hindi,1,Indian,116.97,52.22
2393.54,552.05,11,69,125,3,Rom-Com,English,6,Hollywood,1069.45,6180.79
106.57,15.99,1,64,141,3,Rom-Com,English,7,Hollywood,61.52,858.64
26.09,5.19,9,82,123,9,Action (Masala),Hindi,6,Indian,107.6,75.85
492.49,103.29,8,80,136,8,Drama,English,6,Hollywood,651.95,1028.4
58.53,15.92,2,68,140,6,Fantasy/Adventure,Telugu,4,Indian,152.98,107.62
42.81,8.95,10,68,159,7,Drama,Telugu,3,Indian,105.29,49.26
5.8,0.5,4,69,153,4,Rom-Com,Hindi,1,Indian,15.3,7.39
92.51,3.28,8,74,145,5,Sci-Fi/Action,English,4,Indian,218.08,179.49
444.02,61.18,7,54,115,4,Drama,English,6,Hollywood,455.73,2148.59
